Month,Year,County,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code
1,2018,Pueblo,531897,3448129,,
1,2018,Rio Blanco,,,NL,NL
1,2018,Rio Grande,,,NL,NL
1,2018,Routt,165408,1140165,,
1,2018,Saguache,,99344,NL,
1,2018,San Juan,,,NL,NR
1,2018,San Miguel,,484986,NR,
1,2018,Sedgwick,,,NR,NR
1,2018,Summit,118928,2841769,,
1,2018,Teller,,,NL,NL
1,2018,Washington,,,NL,NL
1,2018,Weld,348569,2300531,,
1,2018,Yuma,,,NL,NL
2,2014,Adams,454940,,,NR
2,2014,Alamosa,,,NR,NL
2,2014,Arapahoe,1210155,,,NL
2,2014,Archuleta,,,NR,NL
2,2014,Baca,,,NL,NL
2,2014,Bent,,,NL,NL
2,2014,Boulder,3345413,,,NR
2,2014,Broomfield,,,NL,NL
2,2014,Chaffee,,,NR,NL
2,2014,Cheyenne,,,NL,NL
2,2014,Clear Creek,111164,445976,,
2,2014,Conejos,,,NL,NL
2,2014,Costilla,,,NR,NL
2,2014,Crowley,,,NL,NL
2,2014,Custer,,,NL,NL
2,2014,Delta,,,NL,NL
2,2014,Denver,14680476,8349069,,
2,2014,Dolores,,,NL,NL
2,2014,Douglas,,,NL,NL
2,2014,Eagle,185360,,,NL
2,2014,Elbert,,,NL,NL
2,2014,El Paso,5116438,,,NL
2,2014,Fremont,215839,,,NL
2,2014,Garfield,373432,,,NR
2,2014,Gilpin,32325,113337,,
2,2014,Grand,,,NR,NL
2,2014,Gunnison,,,NR,NR
2,2014,Hinsdale,,,NL,NL
2,2014,Huerfano,,,NL,NL
2,2014,Jackson,,,NL,NL
2,2014,Jefferson,2044484,880367,,
2,2014,Kiowa,,,NL,NL
2,2014,Kit Carson,,,NL,NL
2,2014,Lake,,,NL,NR
2,2014,La Plata,521985,,,NL
2,2014,Larimer,1009841,,,NL
2,2014,Las Animas,,,NL,NL
2,2014,Lincoln,,,NL,NL
2,2014,Logan,,,NL,NL
2,2014,Mesa,,,NR,NL
2,2014,Mineral,,,NL,NL
2,2014,Moffat,,,NR,NL
2,2014,Montezuma,103266,,,NL
2,2014,Montrose,,,NR,NL
2,2014,Morgan,,,NL,NL
2,2014,Otero,,,NL,NL
2,2014,Ouray,,,NR,NR
2,2014,Park,,,NR,NR
2,2014,Phillips,,,NL,NL
