stateabbrv,statename,stfips,areatyname,areaname,areatype,area,periodyear,periodtype,pertypdesc,period,inctype,incdesc,incsource,incsrcdesc,income,incrank,population,releasedate
CO,Colorado,8,County,Arapahoe County,4,5,1983,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),5658529000,3,344923,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1983,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),16405,5,344923,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1984,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),6286538000,3,357164,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1984,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),17601,4,357164,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1985,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),6819577000,3,369021,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1985,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),18480,5,369021,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1986,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),7159625000,3,377636,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1986,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),18959,5,377636,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1987,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),7523948000,3,382074,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1987,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),19692,3,382074,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1988,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),8003947000,3,382304,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1988,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),20936,3,382304,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1989,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),8816289000,3,384980,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1989,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),22901,3,384980,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1989,1,Annual,0,3,Median Household Income - United States Census,1,Census,38768,2,384980,
CO,Colorado,8,County,Arapahoe County,4,5,1990,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),9508214000,2,393895,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1990,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),24139,3,393895,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1990,1,Annual,0,3,Median Household Income - United States Census,1,Census,37234,4,391572,
