Month,Year,County,Med_Tax_Rev,Rec_Tax_Rev,Med_RemainderOfState_Counties,Rec_RemainderOfState_Counties,Med_Blank_Code,Rec_Blank_Code
10,2015,Boulder,82097,145808,,,,
10,2015,Chaffee,,12481,,,,
10,2015,Clear Creek,2773,16734,,,,
10,2015,Denver,506809,554959,,,,
10,2015,Eagle,9342,13900,,,,
10,2015,Garfield,13416,25968,,,,
10,2015,Gilpin,1158,4215,,,,
10,2015,Grand,,5811,,,,
10,2015,Gunnison,,9863,,,,
10,2015,Jefferson,57101,87195,,,,
10,2015,La Plata,13693,44053,,,,
10,2015,Larimer,41291,83080,,,,
10,2015,Las Animas,,30698,,,,
10,2015,Montezuma,3434,18423,,,,
10,2015,Ouray,,7326,,,,
10,2015,Park,,6442,,,,
10,2015,Pitkin,1413,21501,,,,
10,2015,Pueblo,13700,31547,,,,
10,2015,Routt,6078,18032,,,,
10,2015,San Miguel,1500,10709,,,,
10,2015,Summit,6584,32127,,,,
10,2015,Weld,12559,54301,,,,
10,2015,Remainder of State,18343,126936,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick","Archuleta, Conejos, Costilla, El Paso, Huerfano, Lake, Mesa, Morgan, Saguache, San Juan, and Sedgwick",,
11,2015,Adams,10389,61952,,,,
11,2015,Arapahoe,55261,146573,,,,
11,2015,Boulder,71686,114280,,,,
11,2015,Chaffee,,9659,,,,
11,2015,Clear Creek,-1047,15202,,,,
11,2015,Denver,341421,459988,,,,
11,2015,Eagle,6487,22558,,,,
11,2015,Garfield,9933,24428,,,,
11,2015,Gilpin,,4088,,,,
11,2015,Grand,,4754,,,,
11,2015,Jefferson,43267,69015,,,,
11,2015,La Plata,11351,39047,,,,
11,2015,Larimer,36690,69043,,,,
11,2015,Las Animas,,17734,,,,
11,2015,Montezuma,2766,17999,,,,
11,2015,Park,,5823,,,,
11,2015,Pitkin,2243,24772,,,,
11,2015,Pueblo,21151,48792,,,,
11,2015,Routt,5651,16490,,,,
11,2015,San Miguel,1436,4733,,,,
11,2015,Summit,6243,27750,,,,
11,2015,Weld,11726,54546,,,,
11,2015,Remainder of State,13988,117604,"Alamosa, Archuleta, Costilla, Gilpin, Grand, Las Animas, Mesa, Montrose, Park, Sedgwick and Teller","Archuleta, Conejos, Costilla, El Paso, Gunnison, Huerfano, Lake, Mesa,Morgan, Ouray, Saguache, and Sedgwick",,
12,2015,Adams,12531,71941,,,,
12,2015,Arapahoe,29363,143866,,,,
12,2015,Boulder,65739,122809,,,,
12,2015,Chaffee,,7481,,,,
12,2015,Clear Creek,1918,10212,,,,
12,2015,Denver,349026,532887,,,,
12,2015,Eagle,7829,17202,,,,
12,2015,Garfield,12323,17447,,,,
12,2015,Gilpin,,6892,,,,
12,2015,Grand,,4270,,,,
12,2015,Gunnison,,12319,,,,
12,2015,Jefferson,51412,82255,,,,
12,2015,La Plata,9334,33367,,,,
12,2015,Larimer,33789,75864,,,,
12,2015,Las Animas,,29225,,,,
12,2015,Montezuma,2621,15243,,,,
12,2015,Park,,4729,,,,
12,2015,Pitkin,2216,10072,,,,
12,2015,Pueblo,13094,31773,,,,
12,2015,Routt,5123,12790,,,,
12,2015,San Miguel,1117,3617,,,,
12,2015,Summit,6045,28603,,,,
12,2015,Weld,10147,48723,,,,
12,2015,Remainder of State,17773,107872,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Parkand Sedgwick","Archuleta, Conejos, Costilla, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray, Saguache, and Sedgwick",,
